generation,length,examples,loss,accuracy,current_max_length,attention_top_k,active_heads,active_head_indices,checkpoint
8361,5,256,0.0650916313752532,0.984375,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,10,256,0.0835609557107091,0.9609375,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,20,256,0.10675237607210875,0.94921875,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,40,256,0.12674695439636707,0.953125,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,80,256,0.17588902823626995,0.95703125,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,100,256,0.3818896934390068,0.890625,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,200,256,0.654738262295723,0.828125,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,400,256,1.0418553352355957,0.8125,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,600,64,1.2497941255569458,0.65625,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,800,64,2.2416536808013916,0.59375,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,1000,64,1.7020390629768372,0.671875,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,1500,64,3.023594856262207,0.5,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,2000,64,3.9220970943570137,0.515625,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,2500,64,2.937690645456314,0.609375,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,3000,64,3.125756651163101,0.578125,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,3500,64,3.7315059304237366,0.4375,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,4000,64,4.017810970544815,0.40625,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,4500,64,2.408383978456186,0.515625,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8361,5000,64,4.286281943321228,0.359375,20,1,3,"[[1, 2, 3], [1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008361.pt
8589,2,256,0.5350314602255821,0.8828125,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,5,256,0.11184488981962204,0.96875,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,10,256,0.11110525391995907,0.96484375,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,20,256,0.1254089865833521,0.95703125,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,40,256,0.14743111096322536,0.97265625,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,80,256,0.14726315811276436,0.953125,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,100,256,0.18878232687711716,0.94921875,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,200,256,0.2647160105407238,0.9375,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,400,256,0.30066607147455215,0.9296875,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,600,64,0.5732181668281555,0.890625,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,800,64,0.9706215858459473,0.828125,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,1000,64,0.38487500324845314,0.90625,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,1500,64,1.2855964601039886,0.78125,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,2000,64,2.169329345226288,0.640625,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,2500,64,2.1743762493133545,0.640625,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,3000,64,1.769813559949398,0.765625,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,3500,64,2.070384830236435,0.65625,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,4000,64,1.7815222702920437,0.703125,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,4500,64,1.8849490582942963,0.671875,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8589,5000,64,1.6614627689123154,0.6875,20,1,2,"[[1, 2], [1, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008589.pt
8743,2,256,3.391683280467987,0.40234375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,5,256,1.5810064375400543,0.57421875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,10,256,1.410709261894226,0.57421875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,20,256,1.2776247262954712,0.578125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,40,256,1.2531205415725708,0.60546875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,80,256,1.3190867602825165,0.6015625,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,100,256,1.1630166620016098,0.60546875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,200,256,1.3871700167655945,0.58984375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,400,256,1.216172531247139,0.6171875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,600,64,1.7120436429977417,0.53125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,800,64,1.3832547664642334,0.59375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,1000,64,1.7650370597839355,0.53125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,1500,64,1.4646352529525757,0.609375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,2000,64,2.9177204817533493,0.328125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,2500,64,2.1038379669189453,0.5,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,3000,64,2.4827436208724976,0.5,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,3500,64,3.1107633113861084,0.328125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,4000,64,2.5728019177913666,0.421875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,4500,64,2.468471586704254,0.453125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
8743,5000,64,2.1212480664253235,0.484375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_008743.pt
9000,2,256,0.02223676210269332,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,5,256,0.015311070950701833,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,10,256,0.020234929397702217,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,20,256,0.017899513011798263,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,40,256,0.03018340514972806,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,80,256,0.02559837093576789,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,100,256,0.022280071396380663,0.99609375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,200,256,0.06242873799055815,0.98828125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,400,256,0.14251415338367224,0.97265625,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,600,64,0.03812164440751076,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,800,64,0.2450326532125473,0.9375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,1000,64,0.2276301383972168,0.9375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,1500,64,0.6423233151435852,0.90625,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,2000,64,0.4432539754488971,0.90625,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,2500,64,0.7448852360248566,0.84375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,3000,64,1.0300184488296509,0.828125,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,3500,64,0.5756143033504486,0.890625,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,4000,64,0.5675677614635788,0.875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,4500,64,1.0885626072995365,0.796875,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
9000,5000,64,0.6775183295831084,0.84375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_009000.pt
10000,2,256,0.002461229159962386,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,5,256,0.002422449499135837,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,10,256,0.0023596303653903306,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,20,256,0.0015765959105920047,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,40,256,0.013234172365628183,0.99609375,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,80,256,0.0049098607851192355,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
10000,100,256,0.001896658621262759,1.0,20,1,1,"[[2], [1]]",artifacts/hard_attention_eggroll/cartesian-p8192-sampled-smartprune-ddpsync-from8k-seed7/checkpoint_010000.pt
